6,,,sg-intrrnetbakngdbs.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,98159990987106385501971643914993885727,b'sha256WithRSAEncryption',b'20211114235959Z',b'20201114000000Z',Development Bank of Singapore,https://sg-intrrnetbakngdbs.com
7,,,sg-intrrnetbakngdbs.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,98159990987106385501971643914993885727,b'sha256WithRSAEncryption',b'20211114235959Z',b'20201114000000Z',Development Bank of Singapore,https://sg-intrrnetbakngdbs.com/
8,US,Google LLC,www.google.com,US,Google Trust Services,GTS CA 1O1,2,314483222607570869672845268907628418305,b'sha256WithRSAEncryption',b'20210120162345Z',b'20201028162345Z',"eBay, Inc.",https://cucuneneksudahtua.ixdqtmpvbm.com/z5kdtgs,"http://crl.pki.goog/GTS1O1core.crl
"
9,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://sassigninatt.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
10,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://signinnnnnnnowtoupgradeyourmailboxxx.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
11,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://emaillcheckprotogule.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
12,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://fwedbwqdhqwbjd.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
13,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://loginloginatt.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
14,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://atttend.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
15,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://att-mail-support.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
16,,,coalesceresearchgroup.com,US,"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,2,8705832436255241063,b'sha256WithRSAEncryption',b'20210210184430Z',b'20200210184430Z',PayPal,https://www.coalesceresearchgroup.com/coalesceinternational.com/acceount/494ab913020604effdeaea70c36dfc2d/System-settings.php?country.x=-&amp;ACCT.x=ID-PPL=PA324186.150.64.116=ScrPg=ac168f6b797fd4d60422b6a6e12ff13a2fa7b8f306960538ba337b3da97b5143S=$1$QP5ILaef$Yxn8BZQiX.SSFRftUiZKA1DC8PnrUApbB3VNhOT5Fke06IKHczEjMgYy2i4Jmuws1ao79ftSqvQXxlRLZWdGQXT6Du2oy5CcY8I34KJdFsekUGqg0l1ZMRnv9wrHWVEtBimxON7SbPLazfhpAj23511294305,"http://crl.godaddy.com/gdig2s1-1712.crl
"
17,,,services.runescape.com-gethd.xyz,US,Let's Encrypt,Let's Encrypt Authority X3,2,408025633609656176309722279422917836352379,b'sha256WithRSAEncryption',b'20210213212735Z',b'20201115212735Z',Other,https://services.runescape.com-gethd.xyz/
18,US,Microsoft Corporation,*.sharepoint.com,US,DigiCert Inc,DigiCert Cloud Services CA-1,2,5523863856909840469822075787163678872,b'sha256WithRSAEncryption',b'20211001120000Z',b'20201001000000Z',Other,https://silitrade-my.sharepoint.com/personal/jh_silitrade_com/_layouts/15/WopiFrame.aspx?guestaccesstoken=8vzAUR/5Gb/wmMsfdSzlPfuEeb0mL/zkiljMP9hfa0o=&amp;docid=1_14a3d3f238b844155b59bb08023697365&amp;wdFormId={3395EDB6-941B-49A6-BD04-C039CA27BB2B}&amp;action=formsubmit,"http://crl4.digicert.com/DigiCertCloudServicesCA-1-g1.crl
"
19,US,Microsoft Corporation,*.sharepoint.com,US,DigiCert Inc,DigiCert Cloud Services CA-1,2,5523863856909840469822075787163678872,b'sha256WithRSAEncryption',b'20211001120000Z',b'20201001000000Z',Other,https://silitrade-my.sharepoint.com/personal/jh_silitrade_com/_layouts/15/guestaccess.aspx?guestaccesstoken=8vzAUR/5Gb/wmMsfdSzlPfuEeb0mL/zkiljMP9hfa0o=&amp;docid=1_14a3d3f238b844155b59bb08023697365&amp;wdFormId={3395EDB6-941B-49A6-BD04-C039CA27BB2B},"http://crl4.digicert.com/DigiCertCloudServicesCA-1-g1.crl
"
20,,,ee-infoaccounts.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,106690437734165428941025398381379615996,b'sha256WithRSAEncryption',b'20211115235959Z',b'20201115000000Z',Other,https://ee-infoaccounts.com/account/index?ac=ee
21,,,ee-infoaccounts.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,106690437734165428941025398381379615996,b'sha256WithRSAEncryption',b'20211115235959Z',b'20201115000000Z',Other,http://ee-infoaccounts.com/
22,,,adrien.best,US,Let's Encrypt,Let's Encrypt Authority X3,2,368333671162169620948793548237335190867504,b'sha256WithRSAEncryption',b'20201228143402Z',b'20200929143402Z',Other,https://adrien.best
23,,,three-newebill.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,133739145791153964013133232237846430136,b'sha256WithRSAEncryption',b'20211115235959Z',b'20201115000000Z',Other,https://three-newebill.com
24,US,JPMorgan Chase and Co.,www.chase.com,US,"Entrust, Inc.",Entrust Certification Authority - L1M,2,254921937262032896253516568845985316359,b'sha256WithRSAEncryption',b'20210304120339Z',b'20200304113340Z',Other,https://zankosoriginal.com/www/Weiter/qCKElQ9GilkGTdTsh/meine.Anmelden.php,"http://crl.entrust.net/level1m.crl
"
25,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,18160087483164991046765949568466178180,b'ecdsa-with-SHA256',b'20211112235959Z',b'20201113000000Z',Other,https://ameliapics.com/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
26,,,inicioaccesoing.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,281738442416033631766879048450221888277,b'sha256WithRSAEncryption',b'20211114235959Z',b'20201114000000Z',ING Direct,https://inicioaccesoing.com/r4/
27,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://yahoomailliink.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
28,,,*.000webhostapp.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,2228254079092510724983124338469064688,b'sha256WithRSAEncryption',b'20210710120000Z',b'20190611000000Z',Facebook,https://whatapp6969.000webhostapp.com/login.php,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
29,,,*.000webhostapp.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,2228254079092510724983124338469064688,b'sha256WithRSAEncryption',b'20210710120000Z',b'20190611000000Z',Facebook,https://authorizationsupportcascade.000webhostapp.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
30,,,ee-liveupdates.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,199948045630104284910822016166651016336,b'sha256WithRSAEncryption',b'20211115235959Z',b'20201115000000Z',Other,https://ee-liveupdates.com/account/index?ac=ee
31,,,ee-liveupdates.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,199948045630104284910822016166651016336,b'sha256WithRSAEncryption',b'20211115235959Z',b'20201115000000Z',Other,https://ee-liveupdates.com/
