4,,,online-protection.cc,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,174269117462236650798468059574195882220,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Halifax,https://online-protection.cc/Login.php
5,,,online-protection.cc,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,174269117462236650798468059574195882220,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Halifax,https://online-protection.cc/
6,,,webnode.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,410581289874021619658301254458141417345280,b'sha256WithRSAEncryption',b'20201215062346Z',b'20200916062346Z',Safra Bank,https://renegocia-souza.webnode.com/
7,,,greenpigvitrine.be,US,Let's Encrypt,Let's Encrypt Authority X3,2,302749362177662082984303302849912442543698,b'sha256WithRSAEncryption',b'20210104145558Z',b'20201006145558Z',Allied Bank Limited,https://www.sergeeugene.be//
8,,,selaleparty.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,382466313375094658349985824200351580759325,b'sha256WithRSAEncryption',b'20201214081707Z',b'20200915081707Z',Other,https://selaleparty.com/wp-content/themes/fleurdesel/inc/protect-account/MARKET/MARKET/
9,,,iauth-securepayee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,241535037159234360828597814611449149180,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',HSBC Group,https://iauth-securepayee.com/hsbc
10,GB,Associated Newspapers Limited,secured.dailymail.co.uk,US,DigiCert Inc,DigiCert Secure Site ECC CA-1,2,11034245520682425677074679343279224565,b'ecdsa-with-SHA256',b'20210218120000Z',b'20200429000000Z',Her Majesty's Revenue and Customs,https://hmrcuk.ref36.co.uk/,"http://crl4.digicert.com/DigiCertSecureSiteECCCA-1.crl
"
11,GB,Associated Newspapers Limited,secured.dailymail.co.uk,US,DigiCert Inc,DigiCert Secure Site ECC CA-1,2,11034245520682425677074679343279224565,b'ecdsa-with-SHA256',b'20210218120000Z',b'20200429000000Z',Her Majesty's Revenue and Customs,https://hmrc-pending-rebates.com/,"http://crl4.digicert.com/DigiCertSecureSiteECCCA-1.crl
"
12,,,www.smbc-card.yydjzb7.top,US,Let's Encrypt,Let's Encrypt Authority X3,2,328172118861049448518975408270760295369877,b'sha256WithRSAEncryption',b'20210213073704Z',b'20201115073704Z',Other,https://www.smbc-card.emaiduo.com/
13,GB,Jagex Limited,www.runescape.com,US,DigiCert Inc,DigiCert SHA2 High Assurance Server CA,2,2690252988218585791233481870999567927,b'sha256WithRSAEncryption',b'20220916120000Z',b'20200826000000Z',Other,http://www.tpm.services.runescape.com-er.ru/,"http://crl4.digicert.com/sha2-ha-server-g6.crl
"
14,GB,Jagex Limited,www.runescape.com,US,DigiCert Inc,DigiCert SHA2 High Assurance Server CA,2,2690252988218585791233481870999567927,b'sha256WithRSAEncryption',b'20220916120000Z',b'20200826000000Z',Other,https://www.tpm.services.runescape.com-er.ru/,"http://crl4.digicert.com/sha2-ha-server-g6.crl
"
15,GB,Jagex Limited,www.runescape.com,US,DigiCert Inc,DigiCert SHA2 High Assurance Server CA,2,2690252988218585791233481870999567927,b'sha256WithRSAEncryption',b'20220916120000Z',b'20200826000000Z',Other,https://tpm.services.runescape.com-er.ru/,"http://crl4.digicert.com/sha2-ha-server-g6.crl
"
16,GB,Jagex Limited,www.runescape.com,US,DigiCert Inc,DigiCert SHA2 High Assurance Server CA,2,2690252988218585791233481870999567927,b'sha256WithRSAEncryption',b'20220916120000Z',b'20200826000000Z',Other,http://tpm.services.runescape.com-er.ru/,"http://crl4.digicert.com/sha2-ha-server-g6.crl
"
17,,,halifax.add-device.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,229161375597440140987209616932618392936,b'sha256WithRSAEncryption',b'20211108235959Z',b'20201108000000Z',Halifax,https://halifax.add-device.com/
18,,,halifax.add-device.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,229161375597440140987209616932618392936,b'sha256WithRSAEncryption',b'20211108235959Z',b'20201108000000Z',Halifax,https://halifax.add-device.com/Login.php
19,,,halifax.online-login-personal-valid.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,234176532992509561501897859633484238541,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://halifax.online-login-personal-valid.com/Login.php
20,,,halifax.online-login-personal-valid.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,234176532992509561501897859633484238541,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,http://halifax.online-login-personal-valid.com/
21,,,www.lloyds-device.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,307136064003849678452951373090223794443,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://lloyds-device.com/Login.php
22,,,www.lloyds-device.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,307136064003849678452951373090223794443,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,http://lloyds-device.com/
23,,,lloyds.payee.management,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,63726686906417918148580205052774682257,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://lloyds.payee.management/Login.php
24,,,lloyds.payee.management,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,63726686906417918148580205052774682257,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,http://lloyds.payee.management/
